Customer id,Gender,Age,City,Policy id,Policy number,Purchase Method,Coverage type,Policy start date,Policy end date,Policy renewed in next year,Premium,Claims,Claim id,Claim date,Settlement date,Claims amount,Complaints,Complaint id,Complaint file date,Complaint resolution date,Complaint communication channel,Survey year,Satisfaction Score
dj_1,Female,35,Hamilton,1,B400005,Third party Agent,B,1/1/2018,1/1/2019,Yes,4298,No,,,,,Yes,6,5/1/2018,6/14/2018,Call,2018,4.7
dj_366,Female,33,Kitchener,2,B400004,Third party Agent,B,1/1/2018,1/1/2019,Yes,2988,No,,,,,Yes,5,2/1/2018,2/17/2018,Call,2018,2.7
dj_731,Female,50,Vaughan,3,B400003,Third party Agent,D,1/1/2018,1/1/2019,Yes,7349,No,,,,,Yes,4,5/1/2018,8/27/2018,E-mail,2018,3.5
dj_1096,Female,61,Kitchener,4,B400002,Third party Agent,C,1/1/2018,1/1/2019,Yes,2710,Yes,1,2/1/2018,3/12/2018,31354,Yes,3,4/1/2018,5/5/2018,E-mail,2018,2.6
dj_1461,Male,64,Kitchener,5,B400000,Third party Agent,B,1/1/2018,1/1/2019,Yes,2366,No,,,,,Yes,1,2/1/2018,4/28/2018,Call,2018,3.3
dj_1826,Female,55,Vaughan,6,B400001,Third party Agent,C,1/1/2018,1/1/2019,Yes,4913,No,,,,,Yes,2,3/1/2018,4/5/2018,Web portal,2018,3.5
dj_2,Male,42,Brampton,7,B400008,Third party Agent,C,1/2/2018,1/2/2019,Yes,3844,No,,,,,Yes,9,2/2/2018,4/14/2018,Call,2018,3.1
dj_367,Male,39,Ottawa,8,B400006,Third party Agent,D,1/2/2018,1/2/2019,Yes,7479,No,,,,,Yes,7,4/2/2018,6/11/2018,E-mail,2018,3.4
dj_732,Female,43,London,9,B400009,Third party Agent,A,1/2/2018,1/2/2019,Yes,2026,No,,,,,Yes,10,2/2/2018,5/8/2018,E-mail,2018,3
dj_1097,Male,25,Markham,10,B400011,Third party Agent,D,1/2/2018,1/2/2019,Yes,4876,Yes,2,3/2/2018,10/7/2018,37491,Yes,12,4/2/2018,6/13/2018,Call,2018,2.9
dj_1462,Female,35,Ottawa,11,B400007,Third party Agent,C,1/2/2018,1/2/2019,Yes,4098,No,,,,,Yes,8,5/2/2018,8/6/2018,E-mail,2018,3.6
dj_1827,Female,40,Windsor,12,B400010,Third party Agent,C,1/2/2018,1/2/2019,Yes,4684,No,,,,,Yes,11,3/2/2018,3/17/2018,E-mail,2018,3.5
dj_3,Male,52,Brampton,13,B400016,Third party Agent,C,1/3/2018,1/3/2019,Yes,2468,No,,,,,Yes,17,4/3/2018,5/14/2018,E-mail,2018,3.2
dj_368,Female,29,London,14,B400012,Third party Agent,C,1/3/2018,1/3/2019,No,2909,No,,,,,Yes,13,2/3/2018,5/24/2018,Web portal,2018,3
dj_733,Male,25,Windsor,15,B400013,Third party Agent,B,1/3/2018,1/3/2019,Yes,1705,No,,,,,Yes,14,2/3/2018,4/27/2018,Call,2018,3.5
dj_1098,Male,50,Brampton,16,B400017,Third party Agent,D,1/3/2018,1/3/2019,Yes,3854,Yes,3,4/3/2018,12/28/2018,60439,Yes,18,5/3/2018,6/26/2018,Call,2018,2.2
dj_1463,Male,55,Kitchener,17,B400015,Third party Agent,A,1/3/2018,1/3/2019,Yes,3401,No,,,,,Yes,16,4/3/2018,7/29/2018,E-mail,2018,3.4
dj_1828,Male,40,Kitchener,18,B400014,Third party Agent,B,1/3/2018,1/3/2019,Yes,4078,No,,,,,Yes,15,3/3/2018,6/5/2018,Call,2018,2.7
dj_4,Female,27,London,19,B400023,Third party Agent,B,1/4/2018,1/4/2019,Yes,2818,No,,,,,Yes,24,5/4/2018,7/21/2018,Call,2018,3.7
dj_369,Female,63,Kitchener,20,B400018,Third party Agent,D,1/4/2018,1/4/2019,Yes,2397,No,,,,,Yes,19,2/4/2018,2/23/2018,Web portal,2018,3.5
dj_734,Female,38,Toronto,21,B400022,Third party Agent,B,1/4/2018,1/4/2019,Yes,1603,No,,,,,Yes,23,4/4/2018,6/17/2018,E-mail,2018,3.2
dj_1099,Female,59,Markham,22,B400019,Third party Agent,D,1/4/2018,1/4/2019,Yes,7299,Yes,4,3/4/2018,4/21/2018,28117,Yes,20,3/4/2018,4/29/2018,Web portal,2018,2.6
