Complaint id,Complaint file date,Complaint resolution date,Complaint resolution time,Complaint communication channel,Customer id
1,2/1/2018,4/28/2018,86,Call,dj_1461
2,3/1/2018,4/5/2018,35,Web portal,dj_1826
3,4/1/2018,5/5/2018,34,E-mail,dj_1096
4,5/1/2018,8/27/2018,118,E-mail,dj_731
5,2/1/2018,2/17/2018,16,Call,dj_366
6,5/1/2018,6/14/2018,44,Call,dj_1
7,4/2/2018,6/11/2018,70,E-mail,dj_367
8,5/2/2018,8/6/2018,96,E-mail,dj_1462
9,2/2/2018,4/14/2018,71,Call,dj_2
10,2/2/2018,5/8/2018,95,E-mail,dj_732
11,3/2/2018,3/17/2018,15,E-mail,dj_1827
12,4/2/2018,6/13/2018,72,Call,dj_1097
13,2/3/2018,5/24/2018,110,Web portal,dj_368
14,2/3/2018,4/27/2018,83,Call,dj_733
15,3/3/2018,6/5/2018,94,Call,dj_1828
16,4/3/2018,7/29/2018,117,E-mail,dj_1463
17,4/3/2018,5/14/2018,41,E-mail,dj_3
18,5/3/2018,6/26/2018,54,Call,dj_1098
19,2/4/2018,2/23/2018,19,Web portal,dj_369
20,3/4/2018,4/29/2018,56,Web portal,dj_1099
21,5/4/2018,7/22/2018,79,E-mail,dj_1464
22,2/4/2018,4/24/2018,79,Call,dj_1829
23,4/4/2018,6/17/2018,74,E-mail,dj_734
24,5/4/2018,7/21/2018,78,Call,dj_4
25,2/5/2018,3/25/2018,48,Call,dj_1465
26,3/5/2018,6/13/2018,100,E-mail,dj_735
27,3/5/2018,6/27/2018,114,Call,dj_370
28,4/5/2018,4/21/2018,16,E-mail,dj_1100
29,5/5/2018,6/26/2018,52,Call,dj_1830
30,5/5/2018,7/30/2018,86,E-mail,dj_5
31,3/6/2018,3/27/2018,21,Call,dj_1466
32,3/6/2018,5/7/2018,62,Web portal,dj_371
33,5/6/2018,6/13/2018,38,E-mail,dj_1831
34,2/6/2018,3/14/2018,36,Call,dj_736
35,3/6/2018,3/21/2018,15,Call,dj_6
36,5/6/2018,7/2/2018,57,E-mail,dj_1101
37,2/7/2018,5/9/2018,91,Call,dj_1102
38,2/7/2018,4/25/2018,77,Call,dj_1467
39,3/7/2018,6/23/2018,108,E-mail,dj_737
40,5/7/2018,6/23/2018,47,E-mail,dj_372
41,4/7/2018,6/15/2018,69,Call,dj_1832
42,4/7/2018,6/8/2018,62,E-mail,dj_7
43,3/8/2018,4/20/2018,43,Call,dj_1833
44,3/8/2018,3/28/2018,20,Call,dj_373
