Customer_id,Gender,Age,City
dj_1461,Male,64,Kitchener
dj_1826,Female,55,Vaughan
dj_1096,Female,61,Kitchener
dj_731,Female,50,Vaughan
dj_366,Female,33,Kitchener
dj_1,Female,35,Hamilton
dj_367,Male,39,Ottawa
dj_1462,Female,35,Ottawa
dj_2,Male,42,Brampton
dj_732,Female,43,London
dj_1827,Female,40,Windsor
dj_1097,Male,25,Markham
dj_368,Female,29,London
dj_733,Male,25,Windsor
dj_1828,Male,40,Kitchener
dj_1463,Male,55,Kitchener
dj_3,Male,52,Brampton
dj_1098,Male,50,Brampton
dj_369,Female,63,Kitchener
dj_1099,Female,59,Markham
dj_1464,Female,66,Toronto
dj_1829,Male,21,London
dj_734,Female,38,Toronto
dj_4,Female,27,London
dj_1465,Female,67,Hamilton
dj_735,Female,27,Kitchener
dj_370,Male,20,Windsor
dj_1100,Male,30,Toronto
dj_1830,Male,18,Brampton
dj_5,Male,65,Windsor
dj_1466,Female,45,Windsor
dj_371,Female,18,Brampton
dj_1831,Female,53,London
dj_736,Male,31,London
dj_6,Female,41,Hamilton
dj_1101,Female,51,Mississauga
dj_1102,Male,23,London
dj_1467,Male,70,Vaughan
dj_737,Female,36,London
dj_372,Female,52,Mississauga
dj_1832,Male,58,Markham
dj_7,Male,38,Vaughan
dj_1833,Male,43,Windsor
dj_373,Male,45,Mississauga
dj_8,Female,49,Vaughan
dj_1103,Female,45,London
dj_1468,Male,49,Markham
dj_738,Female,28,Hamilton
dj_1469,Male,59,Brampton
dj_739,Male,64,Hamilton
dj_1104,Female,34,Mississauga
dj_374,Female,37,Windsor
dj_9,Male,56,Markham
dj_1834,Female,31,Ottawa
dj_375,Female,25,Vaughan
dj_1835,Male,63,Brampton
dj_1105,Female,41,Hamilton
dj_1470,Female,67,Markham
dj_740,Female,63,Kitchener
dj_10,Female,33,London
dj_11,Female,68,Hamilton
dj_376,Male,52,Windsor
dj_741,Female,42,Toronto
dj_1471,Male,52,Ottawa
dj_1836,Female,33,Markham
dj_1106,Male,60,Ottawa
dj_377,Female,69,Ottawa
dj_1472,Male,70,Mississauga
dj_1837,Female,31,Mississauga
dj_1107,Male,48,Hamilton
dj_12,Female,31,Mississauga
dj_742,Male,31,Windsor
dj_1108,Male,37,Hamilton
dj_743,Female,51,Toronto
dj_1838,Male,33,Mississauga
dj_13,Male,30,Windsor
dj_378,Female,47,Markham
dj_1473,Female,29,Hamilton
dj_379,Male,42,Ottawa
dj_1109,Female,47,Brampton
dj_14,Female,43,Mississauga
dj_744,Female,53,Markham
dj_1474,Male,63,Kitchener
dj_1839,Male,26,Mississauga
dj_745,Male,27,Hamilton
dj_15,Female,49,London
dj_380,Female,38,Mississauga
dj_1475,Female,30,London
dj_1840,Female,26,Toronto
dj_1110,Male,49,Windsor
dj_1111,Male,31,Ottawa
dj_1476,Female,26,Kitchener
dj_1841,Male,35,Hamilton
dj_381,Female,57,Windsor
dj_16,Male,26,Hamilton
dj_746,Female,33,Vaughan
dj_1842,Female,44,Mississauga
dj_747,Female,40,Markham
dj_1112,Female,33,Toronto
dj_17,Female,32,Hamilton
dj_1477,Male,53,Windsor
dj_382,Male,35,Brampton
dj_1843,Male,38,Ottawa
