Policy id,Policy number,Policy start date,Policy end date,Profitability,Active year,Purchase method,Coverage type,Premium,Customer id
1,B400005,1/1/2018,1/1/2019,4298,2018,Third party Agent,B,4298,dj_1
2,B400004,1/1/2018,1/1/2019,2988,2018,Third party Agent,B,2988,dj_366
3,B400003,1/1/2018,1/1/2019,7349,2018,Third party Agent,D,7349,dj_731
4,B400002,1/1/2018,1/1/2019,-28644,2018,Third party Agent,C,2710,dj_1096
5,B400000,1/1/2018,1/1/2019,2366,2018,Third party Agent,B,2366,dj_1461
6,B400001,1/1/2018,1/1/2019,4913,2018,Third party Agent,C,4913,dj_1826
7,B400008,1/2/2018,1/2/2019,3844,2018,Third party Agent,C,3844,dj_2
8,B400006,1/2/2018,1/2/2019,7479,2018,Third party Agent,D,7479,dj_367
9,B400009,1/2/2018,1/2/2019,2026,2018,Third party Agent,A,2026,dj_732
10,B400011,1/2/2018,1/2/2019,-32615,2018,Third party Agent,D,4876,dj_1097
11,B400007,1/2/2018,1/2/2019,4098,2018,Third party Agent,C,4098,dj_1462
12,B400010,1/2/2018,1/2/2019,4684,2018,Third party Agent,C,4684,dj_1827
13,B400016,1/3/2018,1/3/2019,2468,2018,Third party Agent,C,2468,dj_3
14,B400012,1/3/2018,1/3/2019,2909,2018,Third party Agent,C,2909,dj_368
15,B400013,1/3/2018,1/3/2019,1705,2018,Third party Agent,B,1705,dj_733
16,B400017,1/3/2018,1/3/2019,-56585,2018,Third party Agent,D,3854,dj_1098
17,B400015,1/3/2018,1/3/2019,3401,2018,Third party Agent,A,3401,dj_1463
18,B400014,1/3/2018,1/3/2019,4078,2018,Third party Agent,B,4078,dj_1828
19,B400023,1/4/2018,1/4/2019,2818,2018,Third party Agent,B,2818,dj_4
20,B400018,1/4/2018,1/4/2019,2397,2018,Third party Agent,D,2397,dj_369
21,B400022,1/4/2018,1/4/2019,1603,2018,Third party Agent,B,1603,dj_734
22,B400019,1/4/2018,1/4/2019,-20818,2018,Third party Agent,D,7299,dj_1099
23,B400020,1/4/2018,1/4/2019,1694,2018,Third party Agent,D,1694,dj_1464
24,B400021,1/4/2018,1/4/2019,2421,2018,Third party Agent,A,2421,dj_1829
25,B400029,1/5/2018,1/5/2019,1672,2018,Third party Agent,A,1672,dj_5
26,B400026,1/5/2018,1/5/2019,4799,2018,Third party Agent,C,4799,dj_370
27,B400025,1/5/2018,1/5/2019,2373,2018,Third party Agent,B,2373,dj_735
28,B400027,1/5/2018,1/5/2019,-39722,2018,Third party Agent,C,4834,dj_1100
29,B400024,1/5/2018,1/5/2019,6548,2018,Third party Agent,D,6548,dj_1465
30,B400028,1/5/2018,1/5/2019,3923,2018,Third party Agent,A,3923,dj_1830
31,B400034,1/6/2018,1/6/2019,2927,2018,Third party Agent,C,2927,dj_6
32,B400031,1/6/2018,1/6/2019,1694,2018,Third party Agent,A,1694,dj_371
