Customer id,Survey year,Satisfaction score
dj_1461,2018,2.5
dj_1826,2018,2.7
dj_1096,2018,2.6
dj_731,2018,2.7
dj_366,2018,1.9
dj_1,2018,3.9
dj_367,2018,2.6
dj_1462,2018,2.8
dj_2,2018,2.3
dj_732,2018,2.2
dj_1827,2018,2.7
dj_1097,2018,2.9
dj_368,2018,2.2
dj_733,2018,2.7
dj_1828,2018,1.9
dj_1463,2018,2.6
dj_3,2018,2.4
dj_1098,2018,2.2
dj_369,2018,2.7
dj_1099,2018,2.6
dj_1464,2018,2.4
dj_1829,2018,2.1
dj_734,2018,2.4
dj_4,2018,2.9
dj_1465,2018,2.1
dj_735,2018,2
dj_370,2018,3
dj_1100,2018,2.8
dj_1830,2018,2.8
dj_5,2018,2.9
dj_1466,2018,2.5
dj_371,2018,3
dj_1831,2018,2.8
dj_736,2018,2.7
dj_6,2018,2.7
dj_1101,2018,3.1
dj_1102,2018,3.1
dj_1467,2018,2.2
dj_737,2018,2.5
dj_372,2018,2.8
dj_1832,2018,2.9
dj_7,2018,2.3
dj_1833,2018,3
dj_373,2018,2.5
dj_8,2018,2.7
dj_1103,2018,2.1
dj_1468,2018,2.2
dj_738,2018,3.1
dj_1469,2018,2.4
dj_739,2018,2.8
dj_1104,2018,2.4
dj_374,2018,2.9
dj_9,2018,3
dj_1834,2018,2.2
dj_375,2018,3.1
dj_1835,2018,2.1
dj_1105,2018,2.7
dj_1470,2018,2.4
dj_740,2018,3
dj_10,2018,2.9
dj_11,2018,2.5
dj_376,2018,3.3
dj_741,2018,5
dj_1471,2018,4
dj_1836,2018,4.2
dj_1106,2018,1.9
dj_377,2018,2.2
dj_1472,2018,3.1
dj_1837,2018,2.6
dj_1107,2018,2.8
dj_12,2018,2
dj_742,2018,2.3
dj_1108,2018,2.9
dj_743,2018,2.5
dj_1838,2018,2.6
dj_13,2018,3
dj_378,2018,2.8
dj_1473,2018,2.2
dj_379,2018,1.9
dj_1109,2018,2.7
dj_14,2018,3.1
dj_744,2018,2
dj_1474,2018,2.3
dj_1839,2018,2.3
dj_745,2018,2.9
dj_15,2018,2.5
dj_380,2018,2.2
dj_1475,2018,2.4
dj_1840,2018,2
dj_1110,2018,3
dj_1111,2018,2
dj_1476,2018,2
dj_1841,2018,3.1
dj_381,2018,2.5
dj_16,2018,2.3
dj_746,2018,1.9
dj_1842,2018,2.8
dj_747,2018,2.2
dj_1112,2018,3
dj_17,2018,2.6
dj_1477,2018,3
dj_382,2018,2.1
dj_1843,2018,2
dj_383,2018,2.2
dj_1113,2018,2.9
dj_748,2018,2.1
dj_1478,2018,2.6
dj_18,2018,2.6
dj_1114,2018,2.1
dj_384,2018,2.9
dj_1479,2018,2.8
dj_1844,2018,2.9
dj_749,2018,2.8
dj_19,2018,2.2
dj_1845,2018,4.4
dj_1480,2018,3.6
dj_385,2018,4.1
dj_1115,2018,1.9
dj_20,2018,3
dj_750,2018,3.5
dj_751,2018,3
dj_1116,2018,2.8
dj_1481,2018,2.7
dj_386,2018,2.8
dj_1846,2018,2.6
dj_21,2018,3.1
dj_1117,2018,1.9
dj_1482,2018,2.2
dj_22,2018,2.3
dj_387,2018,1.9
dj_1847,2018,2.2
dj_752,2018,3.1
dj_388,2018,3
dj_753,2018,2.2
dj_23,2018,2.7
dj_1118,2018,2.3
dj_1483,2018,2.5
dj_1848,2018,3.1
dj_389,2018,2.3
dj_1484,2018,2.1
dj_1119,2018,2
dj_1849,2018,2.8
dj_24,2018,2.5
dj_754,2018,3
dj_755,2018,1.9
dj_1120,2018,3
dj_1485,2018,2
dj_1850,2018,2.3
dj_25,2018,3
dj_390,2018,3.1
dj_1486,2018,1.9
dj_26,2018,2.6
dj_391,2018,2.3
dj_1121,2018,2.5
dj_1851,2018,2.8
dj_756,2018,2.1
dj_757,2018,4.8
dj_1487,2018,2.8
dj_27,2018,2.3
dj_392,2018,3.4
dj_1122,2018,2.4
dj_1852,2018,2.1
dj_393,2018,2.6
dj_1123,2018,2.5
dj_28,2018,2.5
dj_1488,2018,2
dj_758,2018,3.1
dj_1853,2018,2.7
dj_1489,2018,3
dj_1854,2018,2.9
dj_759,2018,3
dj_1124,2018,2.7
dj_29,2018,2
dj_394,2018,2.7
dj_1490,2018,2.2
dj_395,2018,3
dj_1125,2018,2.7
dj_30,2018,2.3
dj_1855,2018,2.4
dj_760,2018,2.5
dj_1126,2018,2.1
dj_1491,2018,2.9
dj_31,2018,2
dj_761,2018,2.4
dj_396,2018,2.8
dj_1856,2018,2.3
dj_1857,2018,2.9
dj_1492,2018,2.1
dj_397,2018,2.2
dj_32,2018,2.2
dj_1127,2018,2.3
dj_762,2018,2.4
dj_1493,2018,2.6
dj_763,2018,3.7
dj_1858,2018,2.3
dj_1128,2018,2.4
dj_33,2018,3.2
dj_398,2018,5
dj_34,2018,2.4
dj_399,2018,2.6
dj_1129,2018,2.5
dj_1859,2018,2.1
dj_1494,2018,2.5
dj_764,2018,2.6
dj_1495,2018,2.9
dj_765,2018,2.2
dj_400,2018,2.3
dj_1130,2018,3.1
dj_35,2018,2.5
dj_1860,2018,2.1
dj_401,2018,2.3
dj_1131,2018,2.6
dj_1496,2018,2.1
dj_1861,2018,2.9
dj_36,2018,2.1
dj_766,2018,2.7
dj_37,2018,1.9
dj_1132,2018,1.9
dj_767,2018,2.6
dj_402,2018,2
dj_1497,2018,2.8
dj_1862,2018,2.9
dj_1863,2018,1.9
dj_403,2018,3.2
dj_768,2018,4.2
dj_38,2018,3.8
dj_1133,2018,2.4
dj_1498,2018,2
dj_404,2018,2.7
dj_769,2018,2.5
dj_1499,2018,2.7
dj_39,2018,3
dj_1134,2018,2.2
dj_1864,2018,2
dj_1135,2018,2.3
dj_405,2018,2.4
dj_1865,2018,2.5
dj_40,2018,3
dj_1500,2018,2.7
dj_770,2018,3.1
dj_1501,2018,1.9
dj_771,2018,2.1
dj_406,2018,2.3
dj_1866,2018,2.5
dj_1136,2018,2.8
dj_41,2018,2.1
dj_407,2018,2.8
dj_1867,2018,2.3
dj_1137,2018,2.1
dj_772,2018,4.7
dj_42,2018,4
dj_1502,2018,2.9
dj_1868,2018,3.1
dj_1138,2018,2.7
dj_773,2018,3.1
dj_1503,2018,2.6
dj_408,2018,2.1
dj_43,2018,1.9
dj_409,2018,2.1
dj_1504,2018,2.4
dj_1869,2018,2.8
dj_1139,2018,2.5
dj_44,2018,2.2
dj_774,2018,3.1
dj_775,2018,2
dj_1505,2018,2.9
dj_410,2018,2.6
dj_1140,2018,2.6
dj_1870,2018,2.4
dj_45,2018,3.1
dj_411,2018,2.5
